constraint,path,focus_node,cause
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100191,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100192,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100193,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100194,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100195,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100196,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100197,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100198,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100199,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100200,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100201,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100202,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100203,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100204,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100205,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100206,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100207,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100208,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100209,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100210,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100211,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100212,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100213,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100214,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100215,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100216,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100217,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100218,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100219,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100220,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100221,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100222,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100223,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100224,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100225,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100226,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100227,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100228,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100229,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100230,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100231,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100232,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100233,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100234,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100235,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100236,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100237,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100238,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100239,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100240,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100241,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100242,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100243,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100244,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100245,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100246,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100247,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100248,authored: dcterms:identifier carries the bare C-code (D2)
ClosedConstraintComponent,identifier,http://purl.obolibrary.org/obo/NCIT_C100249,authored: dcterms:identifier carries the bare C-code (D2)
